UserName,Embedded_text,Likes,Retweets,Tweet URL
@birshad99,"Lahore is ready to welcome khan shab 
 #امپورٹڈ_حکومت_نامنظور
0:18
376 views
2
47
54",47,54,https://twitter.com/birshad99/status/1516757649278349316
@birshad99,"khan shab ny abhi kal ana hey  
Lahore Right now 
 #امپورٹد_حکومت_نامنظور
2
11
18",11,18,https://twitter.com/birshad99/status/1516855035161948162
@birshad99,"At JalsaGah Right Now  
Crowd  #امپورٹڈ_حکومت_نامنطور
3
8
15",8,15,https://twitter.com/birshad99/status/1516855039976955906
@birshad99,"I missed IK's space Because i was in JalsaGah  
#ImranKhan #ImranKhanLIVE  
#امپوڑٹڈ_حکومت_نامنظور
1
3
9",3,9,https://twitter.com/birshad99/status/1516876708590272517
@birshad99,"Bhai  
#امپوڑٹڈ_حکومت_نامنظور
4
5
11",5,11,https://twitter.com/birshad99/status/1516875393772441601
@birshad99,"ضرب حیدر ع کو لگانی اتنی آسان نہ تھی
قاتل بھی منتظر تھا وقتِ  نماز ہو
 #شہادتِ_امیرالمومنین_امام_علیؑ
1
3
13",3,13,https://twitter.com/birshad99/status/1516929283859619840
@birshad99,"okay mujy kuch nhi kehna 
 #امپورٹڈ_حکومت_نامنظور
#ImranKhanLIVE
3
3
7",3,7,https://twitter.com/birshad99/status/1516879091655495690
@birshad99,"قضانےوارکیابھی تو پشتِ سر سے کیا
مجال کس کی تھی آتاجو روبروۓ علی(ع)
 #شہادتِ_امیرالمومنین_امام_علیؑ
1
5
11",5,11,https://twitter.com/birshad99/status/1516929688354140160
@birshad99,"لاہور سڑکوں کی لا ئٹیں بند ، کینٹینرز موجود  
ڈر گے کیا ؟ 
#امورٹڈ_حکومت_نامنظور
3
24
21",24,21,https://twitter.com/birshad99/status/1516875898854776833
@birshad99,"تو نے عطا کیا،میں نے بٗھولا دیا،
تو نے پھر سے دیا ،نہ شکر کیا،
تو نے اور دیا ،دیتا ہی گیا،
منہ موڑدئیے دریاؤں کے، 
میں نے ہوا میں اُڑنا سیکھ لیا،
میری اگلی نظر ستاروں پر،
پھر بھی میں تیرے سہاروں پر،
تیرے رنگ رنگ،مولا رنگ رنگ 
2
5
13",5,13,https://twitter.com/birshad99/status/1516567973196185608
@birshad99,"Alhumdullilah proud to be supporter of Kaptan  
خان صاحب آپکے سپورٹر بڑے ہو چکے آپ نے اب گھبرانہ نہیں 
@ImranKhanPTI
 
#LahoreJalsa 
 #امپورٹڈ_حکومت_نامنظور
0:15
60 views
1
4
11",4,11,https://twitter.com/birshad99/status/1517232384902631425
@birshad99,"میں اس قدر ہار جاؤنگا کہ تم جیت کر پچھتاؤ گے #LahoreJalsa 
 #امپورٹڈ_حکومت_نامنظور
1
16
17",16,17,https://twitter.com/birshad99/status/1517228732876038146
@birshad99,"کسی سے بدکلامی نہ کی، نہ کریں گے
چڑھتے سورج کی سلامی نہ کی، نہ کریں گے

یہ دھرتی اپنی ماں ہے، اس سےکیا حساب؟
کسی غیر کی غلامی نہ کی، نہ کریں گے
#ImranKhanPrimeMinister  #LahoreJalsa 
#امپوڑٹڈ_حکومت_نامنظور
4
12
26",12,26,https://twitter.com/birshad99/status/1517223495196889095
@birshad99,"رکاوٹیں لگا کر ، انٹرنیٹ بند کر کے کیا ملا؟ 
روک لیا لاہور یوں کو؟ ہاہاہاہاہاہا 
لاہور کپتان کا 
 #امپورٹڈ_حکومت_نامنظور
3
13
14",13,14,https://twitter.com/birshad99/status/1517224102012100608
@birshad99,"راضی ہیں کپتان  
لاہور آپ پہ قربان 
 #امپوڑٹڈ_حکومت_نامنظور
#LahoreJalsa
0:33
93 views
2
11
17",11,17,https://twitter.com/birshad99/status/1517223474242240514
@birshad99,"ہم نے ایسے ہی نہیں تیری طرف داری کی
تو علامت ہے میرے دیس کی خودداری کی
#BehindYouSkipperAlways 
#LahoreJalsa #ImranKhan
 #اموپورٹڈ_حکومت_نامنظور
1
7
11",7,11,https://twitter.com/birshad99/status/1517226309017120769
